date,material,material_group,material_division,plant,plant_group,sales_office,sales_office_group,historic_sales_12_free_stock_in_tons,historic_sales_12_contracts_in_tons,historic_sales_12_scheduling_agreement_in_tons,historic_sales_24_free_stock_in_tons,historic_sales_24_contracts_in_tons,historic_sales_24_scheduling_agreement_in_tons,sales_free_stock_in_tons,sales_contracts_in_tons,sales_scheduling_agreement_in_tons,historic_inventory_12_free_stock_in_tons,historic_inventory_24_free_stock_in_tons
2026-10-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10603,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10603,143,135,30,25,76,113,1.71,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0
2026-06-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,10607,150,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,11681,143,135,12,22,66,118,0.043,0.0,0.0,0.0,0.0,0.0,0.04299999999999999,0.0,0.0,0.49916981165311636,0.0
2027-03-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,11681,143,135,12,22,66,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,11681,143,135,13,23,69,117,0.525,0.0,0.0,16.588,0.0,0.0,0.47250000000000003,0.0,0.0,1.9768119999999998,0.139946
2026-06-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,11681,143,135,13,23,69,117,4.761,0.0,0.0,3.629,0.0,0.0,4.2849,0.0,0.0,0.323772,5.2006239999999995
2026-07-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,11681,143,135,13,23,69,117,0.207,0.0,0.0,0.0,0.0,0.0,0.1863,0.0,0.0,0.24460147445255473,0.0
2026-08-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,11681,143,135,13,23,69,117,1.2795130000000001,0.0,0.0,0.516,0.0,0.0,1.1515617,0.0,0.0,0.15775399999999998,0.879632
2026-09-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,11681,143,135,13,23,69,117,0.01692,0.0,0.0,1.0150000000000001,0.0,0.0,0.016919999999999994,0.0,0.0,0.00973721521997622,24.133846000000002
2026-10-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,11681,143,135,13,23,69,117,1.6520000000000001,0.0,0.0,0.051814,0.0,0.0,1.6520000000000004,0.0,0.0,2.238078,10.15372337019046
2026-11-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,11681,143,135,13,23,69,117,0.654,0.0,0.0,0.5255,0.0,0.0,0.6540000000000004,0.0,0.0,1.410440102013423,25.07706528179044
2026-12-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,11681,143,135,13,23,69,117,1.591,0.0,0.0,0.534,0.0,0.0,1.5909999999999997,0.0,0.0,1.9127370000000004,7.363249714285715
2027-01-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,1.021,0.0,0.0,0.0,0.0,0.0,0.0,14.078423142857142
2027-02-01,11681,143,135,13,23,69,117,0.5160009999999999,0.0,0.0,1.058,0.0,0.0,0.5160009999999999,0.0,0.0,1.8303734670178287,14.803376089869284
2027-02-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,11681,143,135,13,23,69,117,0.695472,0.0,0.0,0.688,0.0,0.0,0.6954720000000001,0.0,0.0,2.010835,14.862820010230177
2027-03-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-04-01,11681,143,135,13,23,69,117,2.382,0.0,0.0,0.516,0.0,0.0,2.3820000000000014,0.0,0.0,0.016547,16.393008000000002
2027-04-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,11681,143,135,13,23,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,11681,143,135,13,23,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,11681,143,135,28,21,68,117,0.267,0.0,0.0,0.259,0.0,0.0,0.2403,0.0,0.0,4.3713299999999995,1.754557
2026-06-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,11681,143,135,28,21,68,117,0.129,0.0,0.0,0.258,0.0,0.0,0.11610000000000001,0.0,0.0,4.247026,1.5057049999999998
2026-07-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,11681,143,135,28,21,68,117,0.027,0.0,0.0,0.0,0.0,0.0,0.0243,0.0,0.0,4.222165,0.0
2026-08-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,11681,143,135,28,21,68,117,0.259,0.0,0.0,0.535,0.0,0.0,0.23310000000000003,0.0,0.0,3.2273870000000002,0.165902
2026-09-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,11681,143,135,28,21,68,117,0.215,0.0,0.0,0.164,0.0,0.0,0.215,0.0,0.0,2.6614781200000004,1.92259
2026-10-01,11681,143,135,28,21,69,117,0.035,0.0,0.0,0.0,0.0,0.0,0.03499999999999999,0.0,0.0,0.4332638800000001,0.0
2026-11-01,11681,143,135,28,21,68,117,0.216,0.0,0.0,0.216,0.0,0.0,0.21600000000000003,0.0,0.0,2.887775,1.723687
2026-11-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,11681,143,135,28,21,68,117,0.301,0.0,0.0,0.258,0.0,0.0,0.301,0.0,0.0,2.76365,2.4680790000000004
2026-12-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-01,11681,143,135,28,21,68,117,7.396,0.0,0.0,0.258,0.0,0.0,7.396000000000002,0.0,0.0,2.59815,2.219471
2027-01-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-01,11681,143,135,28,21,68,117,2.261,0.0,0.0,0.09366300000000001,0.0,0.0,2.260999999999999,0.0,0.0,0.422025,1.8571739490944377
2027-02-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-03-01,11681,143,135,28,21,68,117,2.356,0.0,0.0,0.129,0.0,0.0,2.3559999999999994,0.0,0.0,0.3916765477654776,1.8195822115384614
2027-03-01,11681,143,135,28,21,69,117,0.083,0.0,0.0,0.0,0.0,0.0,0.08300000000000002,0.0,0.0,0.013798452234522345,0.0
2027-04-01,11681,143,135,28,21,68,117,0.17300000000000001,0.0,0.0,0.129,0.0,0.0,0.17300000000000004,0.0,0.0,0.239975,5.009426
2027-04-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-05-01,11681,143,135,28,21,68,117,0.28400000000000003,0.0,0.0,0.5790000000000001,0.0,0.0,0.2839999999999999,0.0,0.0,0.09117499999999999,4.636513
2027-05-01,11681,143,135,28,21,69,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,11681,143,135,30,25,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,11681,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,11681,143,135,30,25,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,11681,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,11681,143,135,30,25,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,11681,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,11681,143,135,30,25,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,11681,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,11681,143,135,30,25,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,11681,143,135,30,25,76,113,1.076,0.0,0.0,0.0,0.0,0.0,1.076,0.0,0.0,8.11984,0.0
2026-11-01,11681,143,135,30,25,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,11681,143,135,30,25,76,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,11681,143,135,30,25,68,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
